Timestamp(ms),Preprocess(ms),Infer(ms),Postprocess(ms),Total(ms)
1764904400162,2,38,2,42
1764904400205,1,39,2,42
1764904400249,0,40,3,44
1764904400293,0,39,3,43
1764904400335,0,38,3,42
1764904400378,0,38,2,41
1764904400421,0,40,2,43
1764904400466,0,40,2,44
1764904400508,2,36,2,41
1764904400551,0,39,2,43
1764904400594,0,39,2,43
1764904400639,0,41,2,44
1764904400681,0,38,2,41
1764904400724,0,39,2,43
1764904400768,0,40,3,44
1764904400810,0,38,2,42
1764904400855,0,39,3,43
1764904400897,0,39,2,42
1764904400941,0,39,2,43
1764904400984,0,39,2,42
1764904401028,0,39,3,43
1764904401070,1,38,2,42
1764904401114,0,39,2,43
1764904401156,0,39,2,42
1764904401200,0,39,2,43
1764904401243,0,39,2,42
1764904401288,0,39,2,43
1764904401330,0,36,3,40
1764904401373,0,37,2,41
1764904401416,0,39,2,43
1764904401460,0,39,3,43
1764904401503,0,39,3,43
1764904401547,0,37,3,42
1764904401589,0,38,2,42
1764904401633,0,39,2,43
1764904401676,0,40,2,43
1764904401724,0,38,7,46
1764904401762,0,35,2,38
1764904401807,0,41,2,45
1764904401849,0,37,3,41
1764904401892,0,39,2,43
1764904401938,0,39,4,45
1764904401979,1,37,2,40
1764904402023,0,39,3,43
1764904402066,0,39,3,43
1764904402108,0,38,2,41
1764904402153,0,39,2,43
1764904402195,0,38,2,41
1764904402238,0,38,2,41
1764904402284,0,39,4,45
1764904402324,0,37,2,40
1764904402369,0,40,3,44
1764904402411,1,37,2,40
1764904402456,0,40,3,44
1764904402498,0,38,2,41
1764904402541,0,39,2,43
1764904402586,0,40,2,44
1764904402629,0,38,3,42
1764904402671,0,38,2,41
1764904402715,0,40,3,44
1764904402757,2,37,2,42
1764904402801,0,39,3,43
1764904402845,0,39,3,43
1764904402889,0,38,3,43
1764904402931,0,38,2,41
1764904402974,0,39,2,42
1764904403019,0,41,3,44
1764904403061,0,37,2,41
1764904403104,0,39,2,42
1764904403147,0,39,2,42
1764904403191,0,39,3,43
1764904403233,1,36,2,40
1764904403277,0,38,3,41
1764904403320,0,39,2,42
1764904403364,3,37,2,43
1764904403407,0,38,3,42
1764904403450,0,39,2,43
1764904403493,0,39,3,43
1764904403538,0,41,2,44
1764904403579,0,37,2,40
1764904403622,0,39,2,42
1764904403666,0,40,2,44
1764904403709,0,38,2,41
1764904403752,0,39,2,43
1764904403795,0,39,2,42
1764904403839,1,38,2,43
1764904403882,0,40,2,43
1764904403926,0,39,3,44
1764904403969,0,38,2,42
1764904404012,0,39,2,43
1764904404058,0,39,5,45
1764904404098,0,36,2,40
1764904404142,1,39,2,43
1764904404188,0,41,3,45
1764904404229,1,36,3,40
1764904404272,1,38,2,42
1764904404315,1,40,2,43
1764904404358,0,38,2,42
1764904404401,0,39,2,43
1764904404445,0,39,3,43
1764904404488,0,38,2,42
1764904404531,0,39,2,43
1764904404574,0,39,2,42
1764904404617,0,39,2,43
1764904404660,0,39,2,42
1764904404704,0,39,2,43
1764904404748,0,40,3,43
1764904404790,0,39,2,42
1764904404834,0,40,2,43
1764904404876,0,39,2,42
1764904404920,0,40,2,43
1764904404963,0,39,2,43
1764904405014,0,43,6,50
1764904405058,5,31,6,43
1764904405101,3,32,5,42
1764904405142,0,35,4,40
1764904405185,0,37,3,41
1764904405235,1,44,2,48
1764904405269,0,30,2,33
1764904405313,0,39,2,43
1764904405356,0,39,2,42
1764904405400,0,40,2,43
1764904405442,0,38,2,41
1764904405486,0,40,3,43
1764904405529,0,38,2,41
1764904405573,0,39,3,43
1764904405616,0,39,2,43
1764904405659,0,39,2,42
1764904405703,0,38,2,42
1764904405746,0,37,3,41
1764904405789,0,38,2,42
1764904405834,0,39,3,43
1764904405875,0,37,2,40
1764904405920,0,40,4,45
1764904405961,0,37,2,40
1764904406005,0,39,2,43
1764904406049,0,40,2,43
1764904406091,0,39,2,42
1764904406136,0,40,3,44
1764904406178,0,38,2,42
1764904406221,0,39,2,42
1764904406264,0,39,2,42
1764904406307,0,40,2,43
1764904406353,0,40,4,45
1764904406394,0,37,2,40
1764904406437,0,39,2,43
1764904406480,0,39,2,43
1764904406524,0,40,2,43
1764904406567,0,39,2,42
1764904406610,0,40,2,43
1764904406654,0,39,2,43
1764904406697,0,39,2,43
1764904406743,0,39,5,45
1764904406783,1,36,2,40
1764904406827,0,39,2,43
1764904406870,0,39,2,43
1764904406915,0,40,3,44
1764904406957,0,38,2,41
1764904407000,0,39,2,42
1764904407043,1,39,2,42
1764904407086,0,39,2,42
1764904407129,0,37,2,40
